Date, Time,Heater setpoint,Heater temperature
19/03/2021,00:00:09.157,0.00,25.60
19/03/2021,00:00:19.658,0.00,25.60
19/03/2021,00:00:30.157,0.00,25.60
19/03/2021,00:00:40.655,0.00,25.60
19/03/2021,00:00:51.158,0.00,25.60
19/03/2021,00:01:01.657,0.00,25.60
19/03/2021,00:01:12.157,0.00,25.50
19/03/2021,00:01:22.656,0.00,25.50
19/03/2021,00:01:32.658,0.00,25.50
19/03/2021,00:01:43.157,0.00,25.50
19/03/2021,00:01:53.656,0.00,25.50
19/03/2021,00:02:03.656,0.00,25.50
19/03/2021,00:02:13.656,0.00,25.50
19/03/2021,00:02:23.657,0.00,25.50
19/03/2021,00:02:33.657,0.00,25.50
19/03/2021,00:02:44.156,0.00,25.50
19/03/2021,00:02:54.656,0.00,25.50
19/03/2021,00:03:04.657,0.00,25.50
19/03/2021,00:03:15.154,0.00,25.50
19/03/2021,00:03:25.157,0.00,25.50
19/03/2021,00:03:35.656,0.00,25.50
19/03/2021,00:03:45.657,0.00,25.50
19/03/2021,00:03:56.155,0.00,25.50
19/03/2021,00:04:06.157,0.00,25.50
19/03/2021,00:04:16.655,0.00,25.50
19/03/2021,00:04:27.156,0.00,25.50
19/03/2021,00:04:37.654,0.00,25.50
19/03/2021,00:04:47.656,0.00,25.50
19/03/2021,00:04:58.156,0.00,25.50
19/03/2021,00:05:08.656,0.00,25.50
19/03/2021,00:05:18.658,0.00,25.50
19/03/2021,00:05:28.659,0.00,25.50
19/03/2021,00:05:39.156,0.00,25.50
19/03/2021,00:05:49.156,0.00,25.50
19/03/2021,00:05:59.655,0.00,25.50
19/03/2021,00:06:09.657,0.00,25.50
19/03/2021,00:06:20.157,0.00,25.50
19/03/2021,00:06:30.658,0.00,25.40
19/03/2021,00:06:41.157,0.00,25.40
19/03/2021,00:06:51.656,0.00,25.40
19/03/2021,00:07:01.656,0.00,25.40
19/03/2021,00:07:11.657,0.00,25.50
19/03/2021,00:07:22.156,0.00,25.50
19/03/2021,00:07:32.158,0.00,25.40
19/03/2021,00:07:42.658,0.00,25.40
19/03/2021,00:07:53.156,0.00,25.40
19/03/2021,00:08:03.656,0.00,25.40
19/03/2021,00:08:14.154,0.00,25.40
19/03/2021,00:08:24.158,0.00,25.40
19/03/2021,00:08:34.655,0.00,25.40
19/03/2021,00:08:44.656,0.00,25.40
19/03/2021,00:08:55.156,0.00,25.40
19/03/2021,00:09:05.656,0.00,25.40
19/03/2021,00:09:16.156,0.00,25.40
19/03/2021,00:09:26.156,0.00,25.40
19/03/2021,00:09:36.156,0.00,25.40
19/03/2021,00:09:46.156,0.00,25.40
19/03/2021,00:09:56.157,0.00,25.40
19/03/2021,00:10:06.656,0.00,25.40
19/03/2021,00:10:17.158,0.00,25.40
19/03/2021,00:10:27.655,0.00,25.40
19/03/2021,00:10:37.655,0.00,25.30
19/03/2021,00:10:47.657,0.00,25.30
19/03/2021,00:10:57.658,0.00,25.30
19/03/2021,00:11:07.658,0.00,25.30
19/03/2021,00:11:18.156,0.00,25.30
19/03/2021,00:11:28.157,0.00,25.30
19/03/2021,00:11:38.656,0.00,25.30
19/03/2021,00:11:49.154,0.00,25.30
19/03/2021,00:11:59.157,0.00,25.30
19/03/2021,00:12:09.658,0.00,25.30
19/03/2021,00:12:20.156,0.00,25.30
19/03/2021,00:12:30.656,0.00,25.30
19/03/2021,00:12:40.657,0.00,25.30
19/03/2021,00:12:50.657,0.00,25.30
19/03/2021,00:13:01.156,0.00,25.30
19/03/2021,00:13:11.655,0.00,25.30
19/03/2021,00:13:21.658,0.00,25.30
19/03/2021,00:13:32.156,0.00,25.30
19/03/2021,00:13:42.158,0.00,25.30
19/03/2021,00:13:52.656,0.00,25.30
19/03/2021,00:14:02.657,0.00,25.30
19/03/2021,00:14:13.156,0.00,25.30
19/03/2021,00:14:23.156,0.00,25.30
19/03/2021,00:14:33.157,0.00,25.30
19/03/2021,00:14:43.656,0.00,25.30
19/03/2021,00:14:53.656,0.00,25.30
19/03/2021,00:15:04.157,0.00,25.30
19/03/2021,00:15:14.157,0.00,25.30
19/03/2021,00:15:24.656,0.00,25.30
19/03/2021,00:15:34.657,0.00,25.30
19/03/2021,00:15:45.156,0.00,25.30
19/03/2021,00:15:55.657,0.00,25.30
19/03/2021,00:16:06.157,0.00,25.30
19/03/2021,00:16:16.655,0.00,25.30
19/03/2021,00:16:26.657,0.00,25.30
19/03/2021,00:16:36.657,0.00,25.30
19/03/2021,00:16:47.156,0.00,25.30
19/03/2021,00:16:57.658,0.00,25.30
19/03/2021,00:17:08.157,0.00,25.30
19/03/2021,00:17:18.157,0.00,25.30
19/03/2021,00:17:28.656,0.00,25.30
